playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Christophe Lauwers,Centre-Forward,Retired,free transfer,38,3,11,24,31,2
Wagneau Eloi,Centre-Forward,Retired,free transfer,34,2,12,26,19,0
Bas Vervaeke,Attacking Midfield,Retired,free transfer,32,1,31,29,41,1
Jamaïque Vandamme,Attacking Midfield,Retired,free transfer,35,1,0,18,20,0
Koen De Vleeschauwer,Right Midfield,Retired,free transfer,38,1,1,28,35,0
Rocky Peeters,Central Midfield,Retired,free transfer,39,3,1,18,26,0
Frédéric Vanderbiest,Defensive Midfield,Retired,free transfer,34,2,16,33,31,0
Daan Vaesen,Defensive Midfield,Retired,free transfer,35,1,27,24,32,0
Martijn Monteyne,Right-Back,Retired,free transfer,37,3,16,2,9,1
Björn De Coninck,Left-Back,Retired,free transfer,32,1,13,8,25,1
Wouter Biebauw,Goalkeeper,Retired,free transfer,38,2,8,0,27,0
Jurgen Sierens,Goalkeeper,Retired,free transfer,36,1,6,15,42,0
Ibrahim Tankary,Centre-Forward,Retired,free transfer,36,1,0,13,7,1
Sylvio Breleur,Centre-Forward,Retired,free transfer,39,2,26,24,13,0
Stijn Meert,Left Midfield,Retired,free transfer,35,1,28,13,13,0
Nathan D'Haemers,Right Midfield,Retired,free transfer,38,2,19,34,21,0
Tony Sergeant,Central Midfield,Retired,free transfer,35,4,0,4,27,2
Ludwin Van Nieuwenhuyze,Defensive Midfield,Retired,free transfer,36,3,1,31,27,0
Steve Watson,Right-Back,Retired,free transfer,35,2,23,25,24,0
Thomas Gaardsöe,Centre-Back,Retired,free transfer,33,2,13,10,22,2
Paul Robinson,Centre-Back,Retired,free transfer,39,6,4,25,27,0
Riccardo Scimeca,Centre-Back,Retired,free transfer,35,4,6,6,10,1
Heidar Helguson,Centre-Forward,Retired,free transfer,39,1,0,17,39,2
Collins John,Centre-Forward,Retired,free transfer,37,3,2,2,4,0
Luís Boa Morte,Left Midfield,Retired,free transfer,36,1,13,12,30,1
Simon Elliott,Defensive Midfield,Retired,free transfer,38,1,13,32,29,0
Liam Rosenior,Right-Back,Retired,free transfer,34,3,8,12,35,1
Moritz Volz,Right-Back,Retired,free transfer,32,3,3,19,29,3
Wayne Bridge,Left-Back,Retired,free transfer,34,1,12,42,11,1
Dean Leacock,Centre-Back,Retired,free transfer,34,1,3,28,31,2
Philippe Christanval,Centre-Back,Retired,free transfer,30,3,1,23,16,0
Ian Pearce,Centre-Back,Retired,free transfer,36,1,1,4,11,0
Alain Goma,Centre-Back,Retired,free transfer,37,3,15,20,29,0
Carlos Bocanegra,Centre-Back,Retired,free transfer,36,2,18,12,30,0
Julian Gray,Centre-Forward,Retired,free transfer,35,1,12,30,25,0
Clinton Morrison,Centre-Forward,Retired,free transfer,40,3,25,25,36,0
Emile Heskey,Centre-Forward,Retired,free transfer,38,1,31,18,18,1
Jamie Carragher,Centre-Back,Retired,free transfer,35,17,38,31,38,2
Nicklas Bendtner,Centre-Forward,Retired,free transfer,33,1,13,16,38,1
Robin van Persie,Centre-Forward,Retired,free transfer,36,1,31,19,35,8
Aleksandr Hleb,Attacking Midfield,Retired,free transfer,39,1,14,18,16,2
Robert Pirès,Left Midfield,Retired,free transfer,42,1,8,13,37,1
Freddie Ljungberg,Right Midfield,Retired,free transfer,38,1,4,18,30,1
Patrick Cregg,Central Midfield,Retired,free transfer,33,1,10,40,15,1
Abou Diaby,Central Midfield,Retired,free transfer,33,2,2,4,6,5
Gilberto Silva,Defensive Midfield,Retired,free transfer,40,2,0,16,45,0
Johan Djourou,Centre-Back,Retired,free transfer,34,1,12,7,6,5
Pascal Cygan,Centre-Back,Retired,free transfer,37,2,31,26,6,1
Philippe Senderos,Centre-Back,Retired,free transfer,35,1,3,13,10,6
Kolo Touré,Centre-Back,Retired,free transfer,36,1,17,26,21,3
Sol Campbell,Centre-Back,Retired,free transfer,37,1,12,16,40,1
Manuel Almunia,Goalkeeper,Retired,free transfer,37,2,38,43,5,2
Sylvan Ebanks-Blake,Centre-Forward,Retired,free transfer,33,1,21,37,13,1
Ruud van Nistelrooy,Centre-Forward,Retired,free transfer,36,1,32,26,22,5
Wayne Rooney,Centre-Forward,Retired,free transfer,36,1,11,24,34,2
Ryan Giggs,Left Midfield,Retired,free transfer,40,23,22,32,33,0
Ritchie Jones,Central Midfield,Retired,free transfer,30,2,24,29,14,0
Quinton Fortune,Central Midfield,Retired,free transfer,33,1,7,11,7,0
Darren Fletcher,Central Midfield,Retired,free transfer,36,1,14,29,40,0
Alan Smith,Central Midfield,Retired,free transfer,38,4,25,23,31,0
Paul Scholes,Central Midfield,Retired,free transfer,39,1,21,21,33,3
Gary Neville,Right-Back,Retired,free transfer,36,17,4,29,29,1
Adam Eckersley,Left-Back,Retired,free transfer,35,1,14,19,27,2
Kieran Richardson,Left-Back,Retired,free transfer,33,1,6,15,26,1
Mikaël Silvestre,Left-Back,Retired,free transfer,38,1,14,8,1,3
Patrice Evra,Left-Back,Retired,free transfer,38,1,14,25,35,4
Wes Brown,Centre-Back,Retired,free transfer,39,1,15,12,8,0
John O'Shea,Centre-Back,Retired,free transfer,38,1,11,40,30,1
Gabriel Heinze,Centre-Back,Retired,free transfer,36,2,31,36,32,0
Rio Ferdinand,Centre-Back,Retired,free transfer,37,1,12,23,34,1
Carlton Cole,Centre-Forward,Retired,free transfer,35,1,5,9,26,2
Eidur Gudjohnsen,Centre-Forward,Retired,free transfer,39,1,13,29,30,1
Hernán Crespo,Centre-Forward,Retired,free transfer,37,2,6,31,34,3
Shaun Wright-Phillips,Right Winger,Retired,free transfer,38,1,3,9,22,1
Arjen Robben,Right Winger,Retired,free transfer,37,1,7,19,34,11
Joe Cole,Attacking Midfield,Retired,free transfer,38,3,31,29,48,0
Njitap Geremi,Right Midfield,Retired,free transfer,32,1,11,21,17,2
Damien Duff,Right Midfield,Retired,free transfer,37,1,15,18,34,5
Tiago Mendes,Central Midfield,Retired,free transfer,36,6,15,19,37,5
Maniche,Central Midfield,Retired,free transfer,34,1,28,30,32,4
Abou Diaby,Central Midfield,Retired,free transfer,33,2,2,4,6,5
Thomas Kahlenberg,Central Midfield,Retired,free transfer,34,4,2,18,24,2
Philippe Violeau,Defensive Midfield,Retired,free transfer,36,3,35,55,49,0
Lionel Mathis,Defensive Midfield,Retired,free transfer,36,1,31,22,44,0
Mathieu Berson,Defensive Midfield,Retired,free transfer,33,2,29,22,22,0
Benoît Cheyrou,Defensive Midfield,Retired,free transfer,37,3,15,21,31,1
Johan Radet,Right-Back,Retired,free transfer,31,11,15,39,16,0
Bacary Sagna,Right-Back,Retired,free transfer,37,2,31,22,25,5
Jean-Sébastien Jaurès,Left-Back,Retired,free transfer,34,3,18,5,40,3
Aurélien Chedjou,Centre-Back,Retired,free transfer,37,1,7,28,26,1
Oumar Kalabane,Centre-Back,Retired,free transfer,33,1,3,27,20,2
Rene Bolf,Centre-Back,Retired,free transfer,39,2,8,21,27,0
Stéphane Grichting,Centre-Back,Retired,free transfer,36,3,34,39,39,1
Jean-Pascal Mignot,Centre-Back,Retired,free transfer,35,2,4,27,3,2
Sébastien Hamel,Goalkeeper,Retired,free transfer,34,1,0,0,1,0
Aruna Dindane,Second Striker,Retired,free transfer,34,1,11,13,24,0
Jussiê,Attacking Midfield,Retired,free transfer,34,0,21,28,34,5
Alou Diarra,Defensive Midfield,Retired,free transfer,36,1,23,33,12,1
Jonathan Martins Pereira,Right-Back,Retired,free transfer,34,2,1,1,14,2
Patrick Barul,Right-Back,Retired,free transfer,34,1,26,13,10,0
Yohan Demont,Right-Back,Retired,free transfer,35,8,40,40,34,0
Benoît Assou-Ekotto,Left-Back,Retired,free transfer,34,2,16,20,28,1
Kamil Zayatte,Centre-Back,Retired,free transfer,31,1,6,14,12,1
Yoann Lachor,Centre-Back,Retired,free transfer,36,4,1,40,32,0
Nicolas Gillet,Centre-Back,Retired,free transfer,36,2,5,29,35,0
Jacek Bak,Centre-Back,Retired,free transfer,39,1,35,40,33,16
Adama Coulibaly,Centre-Back,Retired,free transfer,35,1,30,44,26,1
Charles Itandje,Goalkeeper,Retired,free transfer,37,1,1,17,37,2
Laurent Leroy,Centre-Forward,Retired,free transfer,35,2,13,2,22,0
Lilian Laslandes,Centre-Forward,Retired,free transfer,37,1,27,34,32,0
Jean-Claude Darcheville,Centre-Forward,Retired,free transfer,39,2,10,28,21,0
Marouane Chamakh,Centre-Forward,Retired,free transfer,35,2,3,12,20,3
Juan Pablo Francia,Attacking Midfield,Retired,free transfer,36,5,0,14,24,0
Vladimir Smicer,Attacking Midfield,Retired,free transfer,36,2,4,12,17,1
Fernando,Defensive Midfield,Retired,free transfer,34,1,14,19,51,4
Rio Mavuba,Defensive Midfield,Retired,free transfer,35,1,14,20,37,1
David Jemmali,Right-Back,Retired,free transfer,36,3,9,24,15,1
Julien Faubert,Right-Back,Retired,free transfer,37,1,2,15,31,0
Florian Marange,Left-Back,Retired,free transfer,32,1,21,26,25,1
Franck Jurietti,Left-Back,Retired,free transfer,35,7,8,30,35,0
Kodjo Afanou,Centre-Back,Retired,free transfer,31,1,19,18,12,0
Henrique,Centre-Back,Retired,free transfer,34,1,21,37,37,1
Marc Planus,Centre-Back,Retired,free transfer,33,13,9,18,39,4
Mathias Hain,Goalkeeper,Retired,free transfer,38,3,4,35,33,4
Carsten Jancker,Centre-Forward,Retired,free transfer,36,3,34,37,15,1
Mihael Mikic,Right Midfield,Retired,free transfer,39,1,7,15,31,2
Ciriaco Sforza,Central Midfield,Retired,free transfer,36,4,7,18,28,0
Christian Nerlinger,Defensive Midfield,Retired,free transfer,33,2,8,7,18,0
Michael Lehmann,Defensive Midfield,Retired,free transfer,31,5,31,26,28,0
Balazs Borbely,Defensive Midfield,Retired,free transfer,35,1,13,17,29,0
Jon Inge Höiland,Right-Back,Retired,free transfer,38,1,27,21,19,0
Ingo Hertzsch,Centre-Back,Retired,free transfer,36,2,1,7,20,3
Lucién Mettomo,Centre-Back,Retired,free transfer,32,1,6,30,12,0
Fabian Schönheim,Centre-Back,Retired,free transfer,33,1,11,13,8,11
Hervé Nzelo-Lembi,Centre-Back,Retired,free transfer,34,2,3,15,15,1
Thomas Ernst,Goalkeeper,Retired,free transfer,38,3,4,24,6,0
